Locals,Area,Bath,Floor,Zone,Price
3,120,2,0,Vigna Stelluti,550000
2,64,1,1,Torresina,249000
5+,295,3+,A,Vigna Stelluti,1190000
3,102,2,2,Ponte di Nona,214000
3,120,2,1,Casal Selce,245000
3,80,2,3,Colle Oppio,520000
3,111,3,4,Cortina d'Ampezzo,570000
4,125,2,R,Anagnina,265000
4,150,3,3,Parioli,795000
3,66,1,4,Spinaceto,169000
5+,220,3,A,Fleming,895000
1,21,1,2,Monti,185000
3,90,2,1,Fidene,229000
5+,160,3,2,Cortina d'Ampezzo,620000
4,116,2,4,Montagnola,460400
3,90,1,2,Cinecittà,285000
5+,190,2,2,Parioli,765000
2,80,1,6,Cinecittà,195000
2,40,1,R,San Giovanni,125000
4,110,2,1,Cinecittà,280000
5,180,2,4,Balduina,649000
5+,163,1,1,Prati,780000
3,75,2,A,Casal Palocco,215000
4,148,2,3,Cortina d'Ampezzo,746500
3,137,2,2,Parioli,682500
2,55,1,0,Farnesina,195000
4,141,2,2,Cortina d'Ampezzo,742000
2,56,1,6,Delle Vittorie,330000
5,180,2,5,Balduina,750000
3,85,3,6,Cinecittà,255000
1,32,1,S,Monteverde Vecchio,185000
2,65,1,0,Testaccio,290000
3,95,1,1,Monteverde Vecchio,450000
4,120,2,3,Vigna Stelluti,520000
4,125,1,1,La Rustica,295000
2,81,1,0,Portuense,215000
2,42,1,1,Anagnina,120000
5+,214,2,2,Coppedè,1150000
3,122,2,A,Anagnina,325000
5+,150,3,0,Mezzocammino,475000
2,94,1,1,Pigneto,190000
3,80,2,R,Anagnina,189000
2,60,1,R,Ostia Levante,139000
4,90,2,A,Anagnina,280000
5+,206,3,4,Villa Chigi,1330000
2,48,1,A,Anagnina,139000
4,110,2,1,Anagnina,210000
4,135,2,1,Policlinico,3100
3,110,2,A,Anagnina,239000
4,125,2,1,Monteverde Vecchio,570000
3,61,1,2,Anagnina,130000
5+,205,3,A,Axa,480000
2,50,1,0,Borghesiana,140000
4,160,2,2,Balduina,495000
4,140,2,3,Monte Sacro,345000
4,145,2,3,Vigna Stelluti,475000
2,50,1,2,Torre Spaccata,125000
3,85,1,0,Monteverde Vecchio,435000
2,73,1,0,Ostia Ponente,245000
3,85,1,4,Cinecittà,225000
3,96,1,1,Vigna Stelluti,275000
2,60,1,S,Re di Roma,234000
5,180,3,1,Cortina d'Ampezzo,519000
3,70,1,1,Casalotti,199000
3,90,1,5,Cinecittà,399000
4,110,1,4,Cinecittà,265000
3,66,1,0,Monti,395000
3,75,1,A,Tor Cervara,199000
2,46,1,2,Cortina d'Ampezzo,189000
3,85,1,2,Quadraro,225000
5,150,2,1,Appio Latino,510000
3,106,2,7,Marconi,379000
4,120,2,3,Serpentara,299000
3,100,2,0,Villa Chigi,349000
3,70,1,4,Spagna,519000
2,65,1,3,Quadraro,139000
2,40,1,1,Anagnina,79000
4,120,2,2,Sallustiano,595000
2,66,1,4,Farnesina,287000
2,67,1,2,Castel di Leva,240000
2,85,1,4,Centocelle,239000
3,65,1,1,Casalotti,135000
2,45,1,1,Anagnina,95000
4,120,2,2,Serpentara,309000
3,90,2,10,Serpentara,170000
3,135,1,0,Casaletto,479000
3,71,1,3,Magliana,189000
3,90,1,7,Nuovo Salario,239000
5,218,2,A,Medaglie d'Oro,975000
4,120,2,9,Serpentara,349000
2,53,1,6,San Giovanni,379000
3,67,1,6,San Giovanni,439000
2,32,1,A,Acilia,115000
3,80,1,1,La Rustica,169000
3,80,2,2,Monteverde Vecchio,495000
2,75,1,5,Monti Tiburtini,234000
3,100,1,3,Monte Sacro,200000
4,110,1,R,San Paolo,315000
4,120,2,4,Cinecittà,295000
3,96,1,1,Monteverde Nuovo,299000
5,135,2,6,Cinecittà,374000
5,175,3,3,San Godenzo,780000
2,55,1,4,Marconi,160000
3,63,1,A,Casal Boccone,295000
3,95,3,0,Piccolomini,290000
3,90,1,2,Villa Chigi,355000
3,90,2,A,Morena,310000
2,54,garantito,0,Anagnina,145000
3,95,2,5,Casal Bruciato,325000
4,210,3,A,Cortina d'Ampezzo,1180500
5+,196,3,A,Cortina d'Ampezzo,1069000
2,53,1,6,San Giovanni,379000
3,67,1,6,San Giovanni,439000
3,85,1,S,Pigneto,139000
2,65,1,R,Pietralata,135000
3,87,1,3,Tor de' Schiavi,255000
4,151,2,S,Euclide,490000
3,95,1,1,Monti Tiburtini,230000
3,120,1,2,Euclide,590000
4,127,2,4,Montecitorio,1250000
2,50,1,2,Torre Spaccata,125000
4,95,1,2,Centocelle,190000
3,104,2,3,Farnesina,420000
4,87,1,1,Casal Bruciato,220000
2,65,1,6,Casal Bruciato,205000
5,180,3,2,Saxa Rubra,480000
5+,172,2,3,Monteverde Vecchio,600000
2,60,1,1,Magliana,149000
2,60,1,2,Castel di Leva,165000
1,28,1,3,Euclide,200000
5+,200,2,2,Vigna Stelluti,750000
3,85,2,2,Appio Latino,460000
5,115,2,1,Balduina,720000
5,142,3+,1,San Lorenzo,600000
3,70,1,3,Vallerano,269000
3,80,2,1,Bravetta,215000
4,150,2,5,Ostia Levante,470000
2,45,1,A,Cortina d'Ampezzo,210000
