Locals,Area,Bath,Floor,Zone,Price
4,175,2,2,Cortina d'Ampezzo,800000
3,120,3,0,Colle Oppio,550000
3,85,1,R,Primavalle,198000
3,85,1,4,Appio Latino,319000
5+,168,3+,1,Monti Tiburtini,550000
2,87,1,4,Centocelle,195000
4,135,1,4,Ostia Levante,250000
3,120,2,2,Valle Aurelia,429000
3,90,1,7,Pigneto,229000
4,150,2,A,Ostia Levante,470000
3,95,2,7,Policlinico,420000
3,85,2,4,Romanina,199000
3,90,1,2,Centocelle,239000
3,85,1,3,Corviale,189000
2,70,1,0,Colli Albani,220000
3,90,2,A,Torrevecchia,349000
3,80,2,1,Bravetta,215000
4,136,2,4,Prima Porta,298000
2,45,1,2,Torre Spaccata,109000
3,100,2,2,Piccolomini,380000
2,58,1,2,Ponte di Nona,115000
2,60,1,8,Cinecittà,219000
3,81,1,1,Primavalle,235000
3,90,1,1,Acilia,219000
5,95,2,A,Giuliano Dalmata,270000
4,129,1,R,Ostia Ponente,209000
5,175,3,2,Monti,1270000
3,85,1,4,Colle Oppio,590000
2,70,1,A,La Giustiniana,158000
2,95,1,2,San Godenzo,330000
3,130,1,8,Casal Bruciato,220000
5+,120,2,3,Corviale,249000
4,129,2,0,Pietralata,315000
3,97,1,2,Nuovo Salario,325000
3,84,1,0,La Rustica,139000
1,41,1,0,Settebagni,129000
5,157,2,2,Roma 70,359000
4,110,2,4,Piccolomini,429000
2,80,1,A,Cinecittà,165000
2,67,1,1,Appio Latino,175000
3,90,1,4,Tor de' Schiavi,199000
2,55,1,1,Ostia Ponente,149000
2,60,1,2,Centocelle,169000
2,63,1,2,Ostia Ponente,159000
4,98,2,3,Montagnola,470000
2,60,1,3,Tor de' Schiavi,169000
3,85,2,1,Quadraro,295000
2,63,1,0,Borghesiana,129000
3,76,1,1,Torre Gaia,135000
4,160,2,3,Campo de' Fiori,1250000
2,71,1,3,Casal Bruciato,199000
3,105,1,3,Centocelle,285000
3,85,1,7,Pigneto,229000
3,90,2,2,Casal Monastero,205000
2,50,1,R,Ostia Ponente,154000
3,65,1,3,Ottavia,155000
2,52,1,0,Monte Sacro,154000
4,115,2,R,Piazzale degli Eroi,530000
3,72,1,A,Ostia Ponente,229000
2,45,1,1,La Giustiniana,125000
4,173,2,1,Euclide,980000
3,100,1,3,Coppedè,630000
3,90,1,7,Pigneto,229000
3,111,1,3,Val Cannuta,439000
3,81,2,0,Torrino,330000
2,55,1,A,Valle Santa,155000
2,57,1,1,Borghesiana,90000
2,78,1,4,Torrino,315000
1,30,1,0,Finocchio,58000
2,75,1,2,Ostia Ponente,176000
5,147,2,2,Tomba di Nerone,429000
3,85,1,3,Anagnina,190000
5,130,2,3,Parioli,690000
4,137,2,2,Coppedè,920000
4,96,1,R,Villa Gordiani,225000
4,165,2,3,Piazza del Popolo,1490000
5+,430,3+,A,Farnesina,1500000
4,194,2,5,Prati,1800000
3,70,1,1,Tor de' Schiavi,189000
3,115,1,6,Appio Latino,380000
3,135,2,0,Ostia Ponente,350000
2,40,1,R,Ostia Ponente,129000
4,85,2,1,Corviale,220000
5+,430,3+,4,Farnesina,1500000
2,55,1,1,Ponte di Nona,138000
2,70,1,1,Piana del Sole,159000
2,58,1,2,Piana del Sole,145000
3,120,2,4,Torrino,295000
2,30,1,3,Torre Angela,70000
4,135,2,1,Cinecittà,589000
2,83,1,1,Furio Camillo,275000
5,140,2,1,Cesano,199000
2,57,1,0,Mezzocammino,249000
1,30,1,3,Farnesina,119000
5+,550,3+,A,Balduina,2000000
3,70,1,2,Tor Cervara,179000
5,225,3,6,Vittorio Veneto,1570000
4,160,2,0,Casaletto,675000
4,110,2,5,Casale Nei,285000
3,80,2,2,Piana del Sole,188000
3,80,2,3,Dragona,159000
5,160,3,5,Torrino,650000
3,65,1,R,Casalotti,139000
3,88,1,1,Pantheon,850000
3,75,1,5,San Lorenzo,330000
3,90,1,3,Fidene,260000
2,59,1,0,Centro Giano,195000
3,80,2,3,Ponte di Nona,198000
2,60,1,4,Torre Spaccata,129000
2,65,1,A,Centocelle,167000
4,95,2,R,Villa Chigi,380000
2,58,1,2,Centocelle,135000
5,155,3,0,Trionfale,380000
2,45,1,3,Pigneto,138000
1,50,1,0,Trevi,210000
2,68,1,3,Primavalle,209000
5+,190,2,2,Porta Pia,770000
2,80,1,4,Tintoretto,295000
3,145,2,5,Vittorio Veneto,900000
3,135,2,5,Vittorio Veneto,875000
4,132,2,2,Casal Bertone,649000
3,80,1,R,Statuario,180000
2,65,1,3,Torrino,269000
3,100,2,7,Garbatella,500000
4,93,2,6,Cinecittà,265000
2,60,1,0,Casal Bruciato,195000
3,85,1,3,La Storta,209000
2,60,1,3,Torrino,280000
4,121,2,7,Torrino,490000
2,40,1,R,Torre Angela,89000
3,80,2,1,La Storta,150450
3,80,2,2,La Storta,144500
3,80,2,0,La Storta,169000
3,90,1,2,Serpentara,220000
3,87,1,2,Acilia,155000
4,150,2,0,Torre Angela,150000
2,80,2,1,Casal Bertone,329000
3,70,1,1,Villa Gordiani,175000
4,90,2,4,Ostia Ponente,175000
3,75,1,0,Torre Spaccata,159000
5+,168,2,3,Farnesina,980000
3,70,1,1,Villa Gordiani,175000
2,45,1,2,Torre Spaccata,109000
3,88,2,0,La Storta,175000
3,70,1,1,Villa Gordiani,175000
2,60,1,4,Tor Cervara,195000
2,50,1,5,Piccolomini,460000
3,92,1,1,Villaggio Olimpico,380000
4,150,2,5,Ostia Levante,470000
3,90,1,5,Cinecittà,259000
2,75,1,1,Villa Gordiani,185000
4,171,2,5,Prati,1600000
2,50,1,6,Re di Roma,250000
3,75,2,S,Bologna,285000
3,89,2,5,Torrino,300000
4,80,2,2,Mezzocammino,360000
3,113,1,1,Balduina,273750
4,143,1,2,Delle Vittorie,440235
5,165,2,1,Coppedè,555000
5+,238,3,2,Balduina,540000
4,134,2,4,Trevi,763800
3,105,1,3,Torrevecchia,280000
2,70,1,4,Campo de' Fiori,650000
4,110,2,3,Farnesina,410000
2,70,1,4,Ostia Levante,165000
3,90,1,3,Ostia Levante,215000
3,95,1,2,Torrevecchia,355000
4,135,2,5,Ostia Levante,375000
5+,166,2,1,Casaletto,470000
3,72,1,4,Trastevere,299000
5+,196,3,8,Trastevere,899000
3,63,2,R,Fori Imperiali,445000
2,75,1,6,Marconi,190000
5+,248,3,A,Montagnola,1450000
3,126,2,7,Tintoretto,380000
3,106,1,3,Monteverde Vecchio,448000
4,100,2,3,Porta di Roma,339000
2,55,1,S,Bravetta,125000
4,100,2,1,Ottavia,219000
3,72,1,1,Ostiense,259000
3,95,2,6,Cinecittà,239000
3,78,2,1,Castel di Leva,260000
3,100,2,6,Cinecittà,309000
4,98,1,R,Monteverde Nuovo,295000
5+,250,3,1,Parioli,1150000
2,80,1,4,Cinecittà,175000
4,102,2,1,Tor de' Schiavi,305000
4,140,2,1,Piccolomini,429000
3,70,1,0,Borghesiana,159000
2,65,1,3,Porta di Roma,229000
5,150,2,0,Trigoria,419000
2,60,1,2,Torre Spaccata,159000
4,90,1,0,Parioli,315000
5,120,1,1,Cortina d'Ampezzo,440000
5+,160,2,5,Delle Vittorie,1130000
5+,195,3+,4,Delle Vittorie,1730000
5+,280,2,R,Parioli,1390000
5+,166,2,1,Villa Chigi,850000
2,80,2,0,Trionfale,225000
3,108,2,A,Colli Aniene,319000
3,90,1,3,Piazza Navona,575000
3,110,2,5,Città Giardino,329000
4,123,2,4,Roma 70,340000
2,70,1,2,Casaletto,230000
2,65,2,2,Monti,430000
4,120,2,5,Villa Chigi,640000
3,95,2,2,Muratella,268000
5,206,2,4,Monte Sacro,840000
2,40,1,S,Pietralata,119000
5,134,2,1,Spinaceto,239000
4,143,2,2,Vigna Stelluti,535000
3,80,2,5,Pietralata,299000
5,120,2,4,Torre Spaccata,369000
2,64,1,2,Torrevecchia,235000
4,122,2,1,Ostia Antica,280000
4,137,2,4,Spagna,1350000
2,45,1,0,Marconi,149000
3,90,1,5,Montagnola,220000
5,149,2,3,Monte Sacro,578000
5,120,2,3,Casale Nei,269000
3,65,1,3,Torre Spaccata,119000
3,100,2,2,Serpentara,249000
2,50,1,2,Settecamini,65000
4,150,2,4,Flaminio,680000
4,125,2,1,Tor de' Cenci,259000
4,90,1,1,Casal Palocco,299000
3,75,1,1,Balduina,320000
1,38,1,0,Appio Latino,160000
3,81,1,2,Torre Spaccata,224000
3,98,2,A,Mezzocammino,359000
5,170,1,0,Euclide,695000
3,100,2,0,Torre Spaccata,295000
3,76,1,6,Saxa Rubra,165000
4,110,2,3,Euclide,550000
3,87,2,2,Casal Boccone,309000
3,92,2,R,San Basilio,239000
2,50,1,0,Euclide,230000
2,55,1,3,Casal Palocco,115000
2,70,1,A,Delle Vittorie,695000
3,85,2,2,Piccolomini,420000
5,300,3+,3,Euclide,2100000
4,204,2,1,Trionfale,850000
2,65,1,5,Pietralata,253000
5,160,2,2,Torre Gaia,207000
2,52,1,0,San Paolo,170000
4,126,2,2,Farnesina,405000
3,126,2,3,Colle del Sole,359000
2,40,1,1,Labaro,120000
3,114,2,A,Bravetta,410000
2,70,1,0,Montecitorio,550000
4,150,3,3,Parioli,795000
2,65,2,0,Piazza Navona,550000
3,110,1,5,Baldo degli Ubaldi,400000
5+,180,3,1,Mostacciano,490000
2,60,1,0,Tor Cervara,160000
5+,410,3+,A,Flaminio,4200000
5,150,2,2,Delle Vittorie,790000
3,101,2,1,Nuovo Salario,290000
3,60,2,3,Barberini,660000
3,130,2,2,Trastevere,980000
5+,190,2,2,Parioli,765000
4,130,2,6,Re di Roma,629000
2,63,1,6,Ostia Ponente,195000
4,150,2,A,Flaminio,1600000
5+,198,3,2,Monte Sacro,650000
2,75,1,5,Montagnola,249000
2,45,1,S,Piccolomini,98000
3,105,2,2,Corviale,249000
2,65,1,4,Ostia Ponente,179000
2,60,1,4,Torre Spaccata,189000
2,75,1,6,Marconi,249000
5+,265,3+,A,Flaminio,2750000
4,95,2,2,Castel Fusano,229000
5,140,3,1,Acilia,275000
5,153,2,0,San Godenzo,450000
3,78,1,0,Monteverde Vecchio,410000
2,75,1,1,Villa Gordiani,179000
5,175,3,R,Nuovo Salario,520000
2,63,1,0,Giuliano Dalmata,239000
5+,250,2,2,Prati,1195000
3,80,1,2,Esquilino,295000
2,81,1,2,Casal Palocco,225000
4,90,1,1,La Storta,134000
4,160,2,2,Cortina d'Ampezzo,729000
2,66,1,3,Val Cannuta,240000
2,66,1,3,Val Cannuta,240000
2,50,1,1,La Rustica,99000
4,110,1,4,Cinecittà,265000
3,95,1,3,Appio Latino,360000
3,90,1,5,Cinecittà,399000
4,95,1,A,Acilia,245000
2,65,1,3,Quadraro,139000
3,75,1,A,Torre Spaccata,185000
3,81,1,1,Città Giardino,320000
2,70,1,2,Centocelle,175000
3,90,garantito,A,Bravetta,350000
3,130,2,A,Massimina,180000
2,70,1,1,Balduina,310000
3,66,1,0,Corviale,189000
5+,136,2,0,Acilia,249900
1,50,1,0,Farnesina,159000
3,130,2,6,Serpentara,280000
3,70,2,1,Finocchio,110000
3,130,1,5,Piccolomini,590000
5+,150,2,1,Villa Chigi,545000
4,145,2,4,Fleming,695000
5+,200,3,1,Parioli,980000
5+,170,3,2,Parioli,1100000
3,70,1,2,Monte Sacro,255000
4,130,2,2,Ostia Ponente,285000
3,90,2,A,Morena,310000
5+,260,3,4,Piazza Navona,2600000
2,45,1,2,Torre Spaccata,109000
3,70,1,1,Villa Gordiani,175000
3,60,1,R,Ostia Levante,155000
3,100,1,4,Cinecittà,279000
3,100,1,R,Flaminio,490000
2,70,1,2,Borghesiana,120000
3,101,2,3,Monte Sacro,309000
5,103,1,2,Trastevere,850000
2,70,1,1,Monti,428000
2,70,1,2,Torre Maura,139000
5+,156,2,3,Fleming,560000
1,50,1,S,Monte Sacro,115000
2,90,1,1,Torre Maura,185000
2,67,1,1,Quarto Miglio,195000
2,68,1,5,Pietralata,188000
5,108,1,6,Spinaceto,200000
2,45,1,1,Borghesiana,119000
1,50,1,3,Cinecittà,160000
3,120,2,1,Villa Chigi,570000
3,70,1,4,Testaccio,280000
2,52,2,R,Centocelle,148000
4,200,3,1,Fleming,760000
2,35,1,0,Monti,495000
3,81,1,4,Casal Bertone,269000
2,57,1,0,Borghesiana,139000
5+,200,2,5,Delle Vittorie,1200000
2,64,1,4,Ostia Ponente,175000
2,70,1,3,Città Giardino,230000
4,101,2,4,Casaletto,420000
3,80,1,3,Montagnola,225000
3,70,1,R,Bravetta,175000
1,45,1,1,Casal Bertone,130000
3,120,2,3,Fonte Meravigliosa,410000
4,135,1,4,Ostia Levante,250000
3,90,1,3,Villa Chigi,395000
2,53,1,R,Repubblica,180000
3,90,2,3,Castel di Leva,295000
4,197,3,1,Cortina d'Ampezzo,485000
3,86,2,0,Mezzocammino,335000
3,115,2,A,Morena,238000
3,95,1,0,Torre Angela,145000
3,135,2,1,La Rustica,260000
3,90,1,6,Colli Albani,399000
2,60,1,3,Esquilino,330000
2,67,1,0,Marconi,225000
4,140,2,R,Piccolomini,790000
3,120,2,2,Rinnovamento,535000
3,75,1,2,Pigneto,180000
2,90,1,0,Parioli,350000
4,101,1,R,Montagnola,295000
4,147,2,3,Labaro,389000
3,86,1,1,Pigneto,265000
2,63,1,2,Ostia Ponente,159000
3,80,2,2,Monteverde Vecchio,495000
3,100,2,3,Marconi,370000
2,70,1,4,Pigneto,225000
2,60,1,2,Infernetto,129000
2,70,1,5,San Godenzo,180000
2,50,1,3,Pigneto,160000
2,50,1,4,Colle del Sole,139000
4,115,2,2,Statuario,315000
4,137,3,6,Roma 70,395000
2,72,1,0,Bologna,330000
5,144,3,4,Torrino,597000
3,87,1,3,Tor de' Schiavi,255000
2,55,1,0,Casalotti,79000
2,68,1,2,Collina delle Muse,179000
4,156,2,5,Torrino,980000
2,60,1,1,San Basilio,149000
2,90,1,0,Parioli,350000
2,60,1,0,Città Giardino,179000
4,140,2,3,Monte Sacro,345000
2,45,1,2,Torre Spaccata,109000
3,110,2,4,Castro Pretorio,420000
2,90,2,2,Tor Cervara,220000
5,115,2,5,Valli,375000
1,46,1,0,Monte Sacro,165000
3,90,2,2,Casal Monastero,209000
2,55,1,3,Acilia,249000
2,80,1,3,Trastevere,750000
4,175,3,1,Nuovo Salario,520000
2,65,1,4,Acilia,148000
4,150,2,5,Bologna,649000
3,85,1,4,Cinecittà,225000
3,90,2,7,Città Giardino,349000
4,135,1,4,Ostia Levante,250000
3,85,2,3,Tomba di Nerone,209000
2,65,1,4,Casal Bruciato,220000
1,45,1,0,Torre Angela,75000
4,120,2,0,Castel di Leva,250000
2,56,1,7,Torrino,240000
3,90,1,R,Monti,550000
5+,189,2,4,Mostacciano,615000
1,50,1,0,Monte Sacro,170000
3,90,2,3,Cinecittà,269000
4,160,2,R,Trigoria,369000
4,110,2,5,Ponte Mammolo,280000
5+,150,3,R,Castel di Leva,360000
3,105,1,3,Cinecittà,249000
3,90,2,3,Portuense,300000
3,107,1,2,San Paolo,299000
4,175,3,1,Nuovo Salario,520000
4,120,2,4,Torre Spaccata,300000
4,130,2,4,Esquilino,770000
3,140,2,4,Vigna Stelluti,880000
3,112,1,R,San Paolo,315000
2,70,1,1,Rinnovamento,249000
4,147,2,3,Labaro,389000
4,200,3,3,San Godenzo,730000
3,70,1,2,Centocelle,160000
3,50,1,0,Piana del Sole,139000
3,80,1,2,Torrino,390000
3,75,2,0,Borghesiana,195000
3,95,1,6,Pigneto,239000
2,37,1,3,San Lorenzo,155000
2,30,1,R,Torrevecchia,119000
4,110,2,6,Re di Roma,420000
2,40,1,1,Pigneto,119000
2,80,1,2,Fidene,170000
2,60,1,0,Città Giardino,179000
5+,215,2,3,Cinecittà,849000
2,70,2,1,Trastevere,530000
2,50,1,0,Fonte Ostiense,259000
4,130,1,4,Città Giardino,230000
2,78,1,4,Pietralata,225000
3,55,1,R,Tor Cervara,110000
3,85,2,4,Cipro,435000
3,100,2,1,Finocchio,220000
4,90,2,6,Quadraro,290000
3,110,2,3,Monte Sacro,630000
1,30,1,0,Primavalle,120000
4,180,3,2,La Giustiniana,480000
3,79,1,1,Torrino,289000
4,120,2,0,Piana del Sole,240000
2,48,1,1,Pigneto,148000
3,80,2,3,Casal Monastero,235000
3,75,1,1,Appio Latino,320000
4,115,2,0,Cinecittà,319000
5,170,2,0,Casaletto,595000
2,65,1,0,Castel di Leva,110000
2,45,1,2,Torre Spaccata,109000
4,116,2,2,Flaminio,700000
3,105,2,3,Collina delle Muse,399000
3,100,1,2,Città Giardino,300000
2,50,1,1,Mostacciano,209000
3,90,2,2,Cipro,460000
4,110,2,6,Coppedè,720000
4,130,2,1,Fonte Ostiense,350000
3,90,1,5,Spinaceto,156000
4,140,2,3,Parioli,695000
2,65,1,8,Ostiense,265000
3,90,1,3,Furio Camillo,330000
3,80,1,5,Cinecittà,320000
2,69,1,3,Colle del Sole,175000
5,204,3,1,Vigna Stelluti,715000
3,76,1,1,Axa,219000
2,45,1,2,Ostia Ponente,138000
3,110,1,2,Boccea,185000
2,81,1,4,Marconi,310000
2,75,1,1,Villa Gordiani,210000
1,42,1,3,Centocelle,162000
2,60,1,0,Appio Latino,280000
5+,180,3+,3,Ponte Milvio,170000
3,70,1,1,Ponte di Nona,135000
4,110,1,2,Rocca Cencia,129000
3,78,2,2,San Basilio,220000
3,91,1,4,Cinecittà,275000
1,45,1,1,Monti Tiburtini,200000
3,100,2,1,Spinaceto,199000
2,45,1,2,Torrevecchia,168000
1,45,1,6,Acilia,145000
4,95,2,1,Casalotti,225000
3,83,1,3,Pigneto,255000
3,90,1,A,Esquilino,430000
4,130,2,2,Tor de' Cenci,299000
5+,210,2,4,Bologna,1180000
5+,155,2,5,Piazzale degli Eroi,690000
2,50,1,2,Cortina d'Ampezzo,239000
4,115,2,0,Cinecittà,319000
3,75,Totale superficie principale,0,Casal Lumbroso,239000
2,70,2,0,Città Giardino,169000
3,60,1,1,Re di Roma,295000
4,85,1,1,Campo de' Fiori,690000
3,115,2,2,Giardinetti,260000
1,40,1,2,Cortina d'Ampezzo,175000
3,100,2,4,Città Giardino,410000
2,50,1,0,Villa Chigi,245000
1,50,1,6,Ostia Ponente,179000
1,45,1,5,Tomba di Nerone,185000
2,70,1,2,Portuense,220000
4,135,2,R,La Giustiniana,229000
5,130,2,0,La Giustiniana,279000
3,85,2,0,La Storta,239000
3,90,1,1,Villa Gordiani,215000
3,104,2,1,Marconi,339000
2,48,1,R,Monteverde Nuovo,225000
2,62,1,3,Pietralata,159000
3,130,2,2,La Giustiniana,247000
5+,205,2,0,Euclide,650000
3,106,1,1,Cinecittà,260000
5+,650,3+,1,Parioli,4500000
3,80,1,1,Ostiense,295000
3,100,1,3,Pigneto,396000
3,90,1,2,Ostia Levante,160000
3,80,1,3,Ponte di Nona,149000
2,45,1,0,Trigoria,89000
4,95,2,0,Torre Angela,150000
5,130,2,0,Torre Angela,180000
3,85,2,0,Torre Angela,140000
3,90,2,1,Piccolomini,400000
5,183,3,2,Tintoretto,659000
3,75,1,3,Torre Angela,160000
3,80,2,2,Colli Aniene,229000
3,65,1,2,Torre Angela,130000
1,35,1,0,Torrevecchia,95000
2,65,1,2,Torre Angela,140000
4,115,2,5,Cipro,520000
2,60,1,1,Eur,395000
2,65,1,6,Tor de' Schiavi,162000
2,68,1,2,Colle del Sole,260000
3,109,2,5,Torrino,399000
2,68,1,S,Statuario,189000
4,115,1,0,Bologna,430000
4,95,1,0,Casaletto,318000
4,122,1,R,Bravetta,265000
4,173,3,3,San Giovanni,750000
2,52,1,4,Casal Monastero,145000
2,50,1,0,Borghesiana,150000
3,98,2,2,Dragona,160000
3,103,1,A,Nuovo Salario,265000
3,85,1,1,Monteverde Nuovo,299000
3,88,1,1,Re di Roma,320000
5+,240,3,5,Prati,1300000
3,115,2,4,Casal Bruciato,349000
3,100,1,5,Nuovo Salario,249000
3,118,1,5,Pineta Sacchetti,315000
4,150,3,A,Val Cannuta,580000
3,85,2,5,Città Giardino,305000
5+,200,1,1,Casal Bruciato,400000
3,75,1,R,Ostia Levante,179000
3,158,2,0,Torpignattara,250000
3,100,2,0,Cipro,390000
4,100,1,0,Castelverde,160000
2,62,1,7,Villa Gordiani,179000
3,100,1,3,Tor de' Schiavi,229000
3,95,1,4,Villa Gordiani,189000
2,75,1,7,Torre Angela,208000
2,75,1,3,Villa Gordiani,185000
2,65,1,1,Tor de' Schiavi,157000
4,130,2,0,Villa Gordiani,269000
4,160,2,2,Villa Bonelli,515000
2,78,1,1,Casaletto,190000
4,155,3,3,Piccolomini,685000
4,116,2,A,Ostia Levante,405000
4,104,2,2,Castel di Leva,354000
2,65,1,4,Marconi,260000
1,25,1,0,Val Cannuta,95000
2,55,1,0,Tor Vergata,85000
5+,280,3+,5,Spagna,2700000
2,47,1,R,Borghesiana,85000
3,72,1,S,Morena,99000
3,80,2,3,San Basilio,195000
3,100,2,A,Morena,259000
3,80,1,0,Settecamini,95000
1,29,1,4,Torre Spaccata,69000
3,100,1,1,Ponte Mammolo,259000
2,62,1,A,Villaggio Olimpico,295000
1,35,1,0,Val Cannuta,155000
4,164,2,0,Fonte Meravigliosa,445000
1,36,1,0,Eur,229000
3,94,1,1,Dragona,180000
1,40,1,2,Boccea,160000
4,142,1,4,Villa Fiorelli,540000
3,70,1,3,Casal Bertone,199000
1,52,1,0,Monte Sacro,179000
5,122,2,1,Fonte Ostiense,350000
3,80,1,1,Marconi,299000
2,58,1,0,Nuovo Salario,169000
2,70,1,A,Vigna Stelluti,339000
3,80,2,1,San Basilio,235000
2,65,1,2,Pigneto,249000
3,80,1,3,Prati,420000
2,73,2,0,Dragona,166900
4,100,2,0,La Rustica,219000
2,50,1,7,Fonte Ostiense,184000
5,99,2,5,Torrino,300000
4,115,2,2,Villaggio Olimpico,460000
2,60,1,1,Villa Gordiani,199000
3,94,2,3,Colle del Sole,187000
3,120,2,3,Vigna Stelluti,455000
3,100,1,0,Giardinetti,105000
3,80,2,5,Torre Maura,219000
3,75,1,0,Anagnina,210000
2,66,1,4,Ostia Ponente,220000
2,70,2,1,Villa Ada,510000
4,100,1,6,Valli,450000
2,68,1,2,Mezzocammino,305000
3,105,1,5,Cinecittà,287000
5+,250,3,2,Balduina,797000
2,70,1,7,Marconi,297000
3,90,1,0,Centocelle,205000
2,50,1,4,Spinaceto,130000
3,85,2,4,Ostia Levante,239000
3,71,1,1,San Basilio,139000
2,75,1,3,Tintoretto,247000
3,50,1,7,Casal Bertone,199000
3,95,1,1,Torre Spaccata,189000
3,77,2,7,Castel di Leva,269000
4,98,2,2,Castel di Leva,329000
1,34,1,0,Monte Sacro,55000
2,75,1,4,Ostia Levante,159000
5+,171,2,4,Appio Latino,640000
3,80,2,6,Montagnola,337000
2,70,1,4,Monteverde Nuovo,330000
3,80,1,1,Quadraro,289000
2,50,1,1,Ponte di Nona,120000
3,80,2,0,Vigna Stelluti,275000
3,100,1,4,Villa Chigi,365000
4,145,2,4,Navigatori,495000
3,100,1,6,Monteverde Vecchio,480000
3,98,2,R,Tor Vergata,240000
3,85,2,5,Monte Sacro,355000
4,110,2,1,Pigneto,290000
2,80,2,A,Nuovo Salario,329000
2,64,1,1,Trastevere,330000
3,75,1,1,Romanina,228000
3,95,2,1,Casal Bruciato,269000
3,70,1,0,Monteverde Nuovo,327000
3,70,1,0,Torre Maura,126000
2,77,1,4,Eur,390000
2,60,1,0,Bravetta,159000
2,75,2,0,Olgiata,165000
2,49,1,S,San Godenzo,140000
2,79,1,1,Nuovo Salario,199000
2,80,1,0,Primavalle,99000
4,85,1,3,Re di Roma,360000
3,110,1,1,Cinecittà,269000
3,85,1,2,San Lorenzo,395000
2,80,1,0,Quadraro,130000
2,60,1,1,Dragona,138000
2,70,1,2,Magliana,169000
2,69,1,2,Bravetta,150000
3,4,2,3,Borghesiana,210000
5+,140,2,2,Valli,485000
1,15,1,5,Villa Fiorelli,100000
2,89,1,3,Trastevere,240000
2,71,1,3,Torrevecchia,275000
3,96,2,6,Torre Spaccata,268000
3,60,1,2,La Rustica,129000
5+,85,2,4,Tor Vergata,145000
3,105,1,1,Torrevecchia,269000
1,41,1,2,Quadraro,139000
3,90,1,2,Torre Gaia,206000
3,108,1,6,Spinaceto,200000
3,85,2,5,Città Giardino,305000
3,96,1,1,Marconi,345000
3,75,1,5,Garbatella,309000
2,50,1,4,Casal Palocco,105000
2,65,1,0,Trionfale,139000
1,35,1,S,Monteverde Nuovo,125000
4,140,2,A,Giuliano Dalmata,419000
2,55,1,0,Torre Maura,125000
2,78,2,R,Valli,280000
5+,260,3,4,Prati,1650000
3,100,2,2,Ponte di Nona,185000
3,70,2,8,Pietralata,265000
2,70,1,3,Monteverde Vecchio,265000
1,40,1,3,Acilia,118000
3,75,2,0,Torre Gaia,165000
3,84,1,A,Centocelle,195000
3,65,1,5,Bravetta,239000
5,140,2,1,Bufalotta,155500
4,120,2,3,Monteverde Vecchio,570000
2,40,1,4,Casal Palocco,83000
1,45,1,0,Trastevere,190000
2,56,1,1,La Rustica,135000
4,110,2,3,Re di Roma,445000
5+,194,3,1,Vigna Stelluti,738000
3,83,1,3,La Rustica,129000
2,50,1,2,Trionfale,269000
3,75,1,2,Monte Spaccato,218000
3,75,1,2,Monte Spaccato,218000
3,75,1,2,Monte Spaccato,218000
2,83,1,2,Acilia,145000
4,110,2,0,Collina delle Muse,189000
3,100,1,2,Pigneto,330000
2,60,1,1,Porta di Roma,220000
2,50,1,A,Bravetta,149000
3,75,1,2,Monte Spaccato,218000
3,85,2,0,La Storta,149000
4,80,1,2,Borghesiana,179000
4,98,2,0,Prati,230000
4,121,2,8,Cinecittà,349000
4,141,2,1,Cinecittà,340000
2,40,1,4,Casal Palocco,83000
4,170,2,2,Prima Porta,159000
2,40,1,4,Casal Palocco,83000
2,60,1,1,Porta di Roma,220000
2,60,1,1,Porta di Roma,220000
2,60,1,1,Porta di Roma,220000
2,96,1,7,Cinecittà,275000
2,60,1,1,Porta di Roma,220000
3,81,2,0,Torrino,330000
2,80,2,2,Monteverde Vecchio,495000
5,134,2,3,Nuovo Salario,480000
2,80,2,2,Monteverde Vecchio,495000
3,75,1,2,Monteverde Nuovo,270000
2,80,2,2,Monteverde Vecchio,495000
3,81,2,0,Torrino,330000
3,81,2,0,Torrino,330000
2,60,1,1,Porta di Roma,220000
3,100,2,3,Marconi,370000
3,100,2,3,Marconi,370000
2,80,2,2,Monteverde Vecchio,495000
3,85,2,2,La Giustiniana,169000
3,120,2,3,Prima Porta,139000
3,81,2,0,Torrino,330000
3,81,2,0,Torrino,330000
3,100,2,3,Marconi,370000
3,100,2,3,Marconi,370000
3,120,2,3,La Giustiniana,260000
4,90,2,1,La Storta,163710
1,55,1,1,La Storta,119000
3,90,2,4,Osteria Nuova,249000
3,80,1,6,Magliana,150000
2,60,1,1,Porta di Roma,220000
3,60,1,1,Ostia Ponente,130000
2,60,1,3,La Giustiniana,190000
2,80,2,2,Monteverde Vecchio,495000
3,100,2,3,Marconi,370000
1,65,1,4,Osteria Nuova,69000
2,54,1,0,Torrino,235000
3,73,1,A,Torre Gaia,109000
2,50,1,3,Quarto Miglio,120000
2,50,1,0,Val Cannuta,150000
2,50,1,0,Val Cannuta,150000
3,77,1,2,Esquilino,299000
3,86,2,9,Colli Aniene,239000
2,72,1,1,Primavalle,185000
4,130,2,4,Val Cannuta,480000
4,128,2,1,Torrino,470000
5+,178,3+,2,Trastevere,1000000
5,134,2,1,Colle del Sole,289000
3,80,1,S,Bologna,318000
3,103,1,A,Tor de' Schiavi,249000
5+,280,3,4,Coppedè,1590000
5+,260,3,1,Villa Ada,1300000
5,170,3,5,Nuovo Salario,790000
5+,500,3+,0,Villa Chigi,1850000
5+,240,2,4,Parioli,1470000
